Descrição,Código,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Valor Pago,Total Vendas
Pote 1L - Creme,1,-561,"R$ 23,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 12.903,00",130,"R$ 2.990,00","R$ 2.990,00"
Pote 1L - Abacaxi ao Leite,2,-1089,"R$ 23,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 25.047,00",234,"R$ 5.382,00","R$ 5.382,00"
Pote 1L - Crocante,3,-911,"R$ 23,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 20.953,00",235,"R$ 5.405,00","R$ 5.405,00"
Pote 1L - Coco,4,-617,"R$ 23,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 14.191,00",131,"R$ 3.013,00","R$ 3.013,00"
Pote 1L - Passas ao Rum,5,-516,"R$ 25,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 12.900,00",131,"R$ 3.275,00","R$ 3.275,00"
Pote 1L - Morango,6,-841,"R$ 23,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 19.343,00",199,"R$ 4.577,00","R$ 4.577,00"
Pote 1L - Milho,7,-333,"R$ 23,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 7.659,00",93,"R$ 2.139,00","R$ 2.139,00"
Pote 2L - Creme,8,-433,"R$ 37,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 16.021,00",67,"R$ 2.479,00","R$ 2.479,00"
Pote 2L - Abacaxi ao Leite,9,-527,"R$ 37,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 19.499,00",119,"R$ 4.403,00","R$ 4.403,00"
Pote 2L - Crocante,10,-385,"R$ 37,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 14.245,00",93,"R$ 3.441,00","R$ 3.441,00"
Pote 2L - Passas ao Rum,11,-167,"R$ 40,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 6.680,00",47,"R$ 1.880,00","R$ 1.880,00"
Pote 2L - Coco,12,-209,"R$ 37,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 7.733,00",55,"R$ 2.035,00","R$ 2.035,00"
Pote 2L - Morango,13,-441,"R$ 37,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 16.317,00",96,"R$ 3.552,00","R$ 3.552,00"
Pote 2L - Milho,14,-91,"R$ 37,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 3.367,00",23,"R$ 851,00","R$ 851,00"
Pote 1L - Flocos,15,-1944,"R$ 25,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 48.600,00",494,"R$ 12.350,00","R$ 12.350,00"
Pote 1L - Meio Amargo,16,-822,"R$ 25,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 20.550,00",184,"R$ 4.600,00","R$ 4.600,00"
Pote 1L - Chocoflocos,17,-1846,"R$ 25,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 46.150,00",432,"R$ 10.800,00","R$ 10.800,00"
Pote 1L - Laka,18,-1886,"R$ 25,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 47.150,00",530,"R$ 13.250,00","R$ 13.250,00"
Pote 1L - Chocomenta,19,-416,"R$ 25,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 10.400,00",114,"R$ 2.850,00","R$ 2.850,00"
Pote 1L - Pistache,20,-662,"R$ 25,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 16.550,00",175,"R$ 4.375,00","R$ 4.375,00"
Pote 1L - Lambada,21,-522,"R$ 25,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 13.050,00",119,"R$ 2.975,00","R$ 2.975,00"
Pote 2L - Flocos,22,-1409,"R$ 40,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 56.360,00",305,"R$ 12.200,00","R$ 12.200,00"
Pote 2L - Meio Amargo,23,-221,"R$ 40,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 8.840,00",53,"R$ 2.120,00","R$ 2.120,00"
Pote 2L - Chocoflocos,24,-1282,"R$ 40,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 51.280,00",294,"R$ 11.760,00","R$ 11.760,00"
Pote 2L - Laka,25,-1342,"R$ 40,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 53.680,00",314,"R$ 12.560,00","R$ 12.560,00"
Pote 2L - Chocomenta,26,-109,"R$ 40,00 ","R$ 0,00 ","R$ 0,00 ","-R$ 4.360,00",27,"R$ 1.080,00","R$ 1.080,00"
